action - 90, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 91, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 92, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 93, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 94, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 95, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 96, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 97, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 98, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 99, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 100, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 101, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 102, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 103, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 104, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 105, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 106, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 107, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 108, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 109, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 110, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 111, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 112, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 113, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 114, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 115, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 116, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 117, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 118, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 119, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 120, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 121, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 122, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 123, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 124, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 125, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 126, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 127, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 128, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 129, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 130, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 131, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 132, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 133, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
